rd_id,rd_dept,rd_semester,rd_year,rd_crs_code,rd_crs_name,rd_prac_status,rd_crs_hr,rd_crs_book,rd_crs_outlline
10,cs,2,2016,CMP-121,Digital Logic Design Lab,1,1,"D. Samanta, Classic Data Structures, Prentice Hall, 2001, ISBN:
812033731X.
2. Mark Allen Weiss, Data Structure and Algorithms in C++, 3rd Ed.,
Pearson Education, 2006, ISBN: 978-0321441461.
3. Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford
Stein, Introduction to Algorithms, 2nd Ed, MIT Press, 2001, ISBN 0-07-
013151-1.
4. Reference from different books enlisted in reference material will be
given as required or lecture notes for reading will be provided.","Implementation of the concepts studied in “CMP210-Data
Structures and Algorithms”, Performance Analysis/Measurement, Sparse
Matrices, N-Dimensional Arrays, Stack ADT, Expressions Evaluation,
Recursion: Backtracking, Queue: Double Ended Queue, Self-Referencing
Classes and Dynamic Memory Allocation, Linked List: Singly Linked Lists,
Circular Lists, Linked Stacks and Queues (Double Ended List), Doubly
Linked Lists, Trees: Binary Trees, Binary Search Tree, Introduction to
Height Balanced and AVL Trees, Heaps and Heaps as Priority Queues,
Double Ended Priority Queue, Searching: Linear Search, Binary Search,
and Types of Indexing, Hashing: Hash Functions, Collision Resolution:
Open Hashing, Chaining, Sorting types and Techniques: Logical and
Algorithmic Implementation of Selection, Bubble, Insertion, Shell, Radix,
Merge, Quick, Heap Sort, Graphs: Graph terminology, Adjacency List and
Adjacency Matrix and Adjacency list representation of Graph; Elementary
Graph Operations: Breadth"
11,cs,2,2016,CMP-140,Programming Fundamentals,0,3,"Tony Gaddis, Starting out with C++: from control structures through
objects, 7th Ed., Addison-Wesley, 2012, ISBN 978-0-13-257625-3","Basic Themes of Quran, Introduction to Sciences of Hadith,
Introduction to Islamic Jurisprudence, Primary & Secondary Sources of
Islamic Law, Makken & Madnian life of the Prophet, Islamic Economic
System, Political theories, Social System of Islam
Historical background of Pakistan: Muslim society in Indo-Pakistan, the
movement led by the societies, the downfall of Islamic society, the
establishment of British Raj- Causes and consequences. Political evolution
of Muslims in the twentieth century: Sir Syed Ahmed Khan; Muslim
League; Nehru; Allama Iqbal: Independence Movement; Lahore
Resolution; Pakistan culture and society, Constitutional and Administrative
issues, Pakistan and its geo-political dimension, Pakistan and International
Affairs, Pakistan and the challenges ahead."
12,cs,2,2016,CMP-141,Programming Fundamentals Lab,1,1,"Chaudary M. Ali, The Emergence of Pakistan, Columbia University
Press, 1967, ISBN: 0231029330.
2. K. K. Aziz, The Making of Pakistan, Sang-e-Meel Publications, 2002,
ISBN: 969350870X.
3. I. H. Qureshi, ed., A Short History of Pakistan, University of Karachi,
1967, ISBN: 9694040086.","Implementation of the concepts studied in “CMP140-
Programming Fundamentals”, Flowcharts/Pseudo Codes, Data types,
Variable and Constants, Operator and Expressions, Input and Output
(I/O), Formatted I/O, Escape Sequences, Decision making using if/switch
control structure, Repetition using for and do while, functions, prototype,
parameter and arguments, call by value and call by reference, Library and
header files, Array, Passing Arrays to function, multi-dimensional arrays,
searching and sorting, Pointers: pointer definition, pointer arithmetic,
constant pointers, pointer and arrays, Dynamic Memory Allocation, User
Defined Data Types: structures, definition, initialization, accessing
members of structures, typedef, unions, C File Processing: files and
streams, Sequential Access File, Random Access File, Secondary Storage
I/O. Miscellaneous Topics: Command Line Arguments."
13,cs,3,2016,CMP-201,Discrete Mathematics,0,3,"Howard Anton, Irl C. Bivens and Stephen Davis, Calculus, 11th Edition,
Wiley, 2016, ISBN-10: 1119228581, ISBN-13: 978-1119228585.","Motivation and applications of the course, Rectangular
coordinates in 3-space, spheres, cylindrical surfaces, Vectors, Scalar (dot)
products, projections, Vector (cross) products, Parametric Equations of
Lines, Planes in 3-space, Quadric surfaces, Spherical and cylindrical
coordinates, Introduction to vector-valued functions, Calculus of vector-
valued functions, Change of parameter, Arc length, Unit tangent , normal,
and binormal vectors, Curvature, Functions of two or more variables,
Limits, Continuity, Partial derivatives, Differentiability, Local Linearity,
Differentials, The Chain rule, Directional derivatives and Gradients,
Tangent planes and normal vectors, Maxima and minima of functions of
two variables, Lagrange multipliers, Double integral, Double integrals over
Nonrectangular Regions, Double integrals in Polar Coordinates, Parametric
surfaces, Surface area, Triple integrals, Triple Integrals in Cylindrical and
Spherical Coordinates, Divergence and Curl of vector valued functions, Line
integrals, Conservative Vector Fields, Green’s Theorem, Surface integrals,
application of surface integrals(Flux), Divergence Theorem, Stokes’
theorem."
14,cs,3,2016,SS-201,Introduction to Economics,0,3,"Peter Linz, An Introduction to Formal Languages and Automata, 6th

Edition, Jones & Bartlett Learning, 2016, ISBN-10: 1284077241, ISBN-
13: 978-1284077247,","History of computation, recursive definitions, regular expressions,
deterministic finite automata, transition graphs, nondeterministic finite
automata, regular languages, properties of regular languages, non-regular
languages, context-free grammars, context-free languages, properties of
context-free languages, push down automata, non-context free
languages, Turing machines."
15,cs,3,2016,CMP-223,Computer Organization and Assembly Language,0,3,"Charles Marut, Ytha Yu, Assembly Language Programming and
Organization of the IBM PC, 1st Edition, McGraw-Hill, 1992, ISBN:
9780070726925.","Implementation of the concepts studied in “CMP-223 - Computer
Organization and Assembly Language” Introduction, History & Evolution of
Intel Microprocessor And Assembly Language, Applications and Advantages
of Assembly Language, Computer Organization, The Components of a
Microcomputer System, Instruction Cycle, Memory Architecture, Memory
Representation & Hierarchy, Data, Address, Control Busses, Intel 8086
family of Microprocessors, Organization of Intel 8088/8086 Processor,
Registers and their categories Function of Registers, Memory Addressing,
Real Mode Memory Structure, Memory Segmentation (Segment/Offset
Scheme), Debugger, Examples of different commands of debugger,
Example of MOV instruction on debugger, Assembly Language Syntax on
MASM, Program data, Variables, Program Structure, Memory Models, Data
Segments, Stack Segment, Code Segment, Different Variants of MOV
instruction MASM format, Some Basic Instructions programming practice,
XCHG,ADD, SUB, INC, DEC,NEG, Input and Output Instructions
programming exercise, Unconditional Jump, Various Conditional Jumps,
Looping Structures, Logic Instructions, AND, OR,XOR, NOT, TEST, Related
Programming examples, Shift Instructions, Related Programming examples,
Rotate Instructions, Related Programming examples, Procedures to Input
Binary, Decimal, Hexadecimal Numbers, Procedures to output Binary,
Decimal, Hexadecimal Numbers, The Stack, PUSH and POP Instructions,
CALL and RET instructions, Related Programming examples, MUL
instruction, DIV instruction, Related Programming examples, Addressing
Modes, Related Programming examples, XLAT instruction, Related
Programming examples, String Instructions, MOVSB/W, LOADSB/W,
STOSSB/W, SCASB/W, CMPSB/W ,Related Programming examples, File
Operations, Reading a File, Writing a File, Programming Examples"
16,cs,3,2016,CMP-224,Computer Organization and Assembly Language Lab,1,1,"Charles Marut, Ytha Yu, Assembly Language Programming and
Organization of the IBM PC, 1st Edition, McGraw-Hill, 1992, ISBN:
9780070726925.","Introduction, History & Evolution of Intel Microprocessor And
Assembly Language, Applications and Advantages of Assembly Language,
Computer Organization, The Components of a Microcomputer System,
Instruction Cycle, Memory Architecture, Memory Representation &
Hierarchy, Data, Address, Control Busses, Intel 8086 family of
Microprocessors, Organization of Intel 8088/8086 Processor, Registers and
their categories Function of Registers, Memory Addressing, Real Mode
Memory Structure, Memory Segmentation (Segment/Offset Scheme),
Assembly Language Syntax, Program data, Variables, Different Variants of
MOV instruction, Some Basic Instructions, XCHG,ADD, SUB, INC, DEC,NEG,
Program Structure, Memory Models, Data Segments, Stack Segment, Code
Segment, Input and Output Instructions, The Processor Status and Flags
Register, Flow Control Instructions, Unconditional Jump, Various Conditional
Jumps, Looping Structures, Logic Instructions, AND, OR,XOR, NOT, TEST,
Related Programming examples, Shift Instructions, Related Programming
examples, Rotate Instructions, Related Programming examples,
Procedures to Input Binary, Decimal, Hexadecimal Numbers, Procedures to
output Binary, Decimal, Hexadecimal Numbers, The Stack, PUSH and POP
Instructions, CALL and RET instructions, Related Programming examples,
MUL instruction, DIV instruction, Related Programming examples,
Addressing Modes, Related Programming examples, XLAT instruction,
Related Programming examples, String Instructions, MOVSB/W, LOADSB/W,
STOSSB/W, SCASB/W, CMPSB/W ,Related Programming examples, File
Operations, Reading a File, Writing a File, Programming Examples, INT
Structure, Organization of the Basic Computer, Computer Instructions for
Basic computer (Memory Reference, Register Reference and I/O
instructions), Addressing modes, Instruction Cycle, Timing and Decoding,
RTL of the instructions, Complete flow chart for the Basic Computer
Operation, Design of the Control unit of the basic computer, Design of ALU
for the basic computer."
17,cs,3,2016,HM-240,Professional Ethics,0,2,"and Finalizing Reports/ Proposals

Text Book(s)

1. Herta A. Murphy, Herbert W. Hildebrandt and Jane P. Thomas,
Effective Business Communication, 7th Edition, McGraw Hill India,
2008, ISBN-13: 978-0070187757
2. Courtland L. Bovee, John V. Thill, Business Communication Today,","Defining Communication, Effective Communication, Perspectives
in Communication skills, Organizational Communication, Communication
across culture, Nonverbal communication, Communication Styles, Basic
listening skills, Impromptu Presentation, The seven Cs of effective
communication, Communication and Technology, Working in Groups,
Communication Instruments: choice of visual aids, Making Oral
Presentations, Strategies for Successful Interpersonal Communication,
Strategies for Successful Business and Group Meetings, Effective Written
Communication, Appearance and design"
18,cs,3,2016,CMP-244,Object Oriented Programming,0,3,"H. M. Deitel, P. J. Deitel, C++ How to Program, 5th Ed., Prentice Hall, 2005,
ISBN: 0-13-185757-6.","Object Oriented Concepts, Terminology and Features,
Class/ADT/UDT, Data Abstraction and Encapsulation, Special Methods,
Constructor and Destructor; Modifier const; Array and Pointer of ADT,
Composition, Aggregation; this Pointer, friend Function and Class, Modifier
static, Operator Overloading, Function and Class Templates, Inheritance, its
types, and related Terminology, Overriding: static &
dynamic/Polymorphism; Stream I/O, File Processing; Exception Handling"
19,cs,3,2016,CMP-245,Object Oriented Programming Lab,1,1,,"Implementation of the concepts studied in “CMP244 - Object
Oriented Programming”, Review of Data Driven Programming, Defining
Classes and Object Initialization: setter/getter, Constructor/Destructor,
Resource Allocation/De-Allocation, const data members and function,
Composition, Aggregation, Friend function/classes, Generalization,
Multilevel/Multiple Inheritance, Runtime Polymorphism,
Singelton/Proxy/Adapter Pattern, Adhoc Polymorphism: Templates, Stream
I/O, File Processing, Exception Handling"
50,it,1,2016,CMP-100,Introduction to Computing Computing,0,3,"1. R. Lafore, Object-Oriented Programming in C++, 4th Ed., Sams
publishing, 2002, ISBN: 0-672-32308-7.
2. Victor Shtern, Core C++ A Software Engineering Approach, 1st Ed.,
Prentice Hall PTR, 2000, ISBN: 0-13-085729-7.
3. Stephen Parata, C++ Primer Plus, 5th Ed., Sams Publishing, 2005,
ISBN: 0-672-32697-3.
4. Bjarne Stroustrup, The C++ Programming Language, 4th Ed., Addison
Wesley, 2013,","Object Oriented Concepts, Terminology and Features,
Class/ADT/UDT, Data Abstraction and Encapsulation, Special Methods,
Constructor and Destructor; Modifier const; Array and Pointer of ADT,
Composition, Aggregation; this Pointer, friend Function and Class, Modifier
static, Operator Overloading, Function and Class Templates, Inheritance, its
types, and related Terminology, Overriding: static &
dynamic/Polymorphism; Stream I/O, File Processing; Exception Handling"
20,cs,4,2016,CMP-210,Data Strcutures and Algorithms,0,3,"Ellis Horowitz, Sartaj Sahni, D. Mehta, Fundamentals of Data
Structures in C++, 2nd Ed., Computer Science Press, 1995. ISBN 81-
7808-792-8  Adam B. Drozdek, Data Structure and Algorithm in C++, 4th Ed.,
Cengage Learning, ISBN 978-1133608424","Introduction: Introduction to Course, Review of Object Oriented
Programming Concepts. Algorithm Specification: Properties of Algorithm,
examples, performance, analysis, measurement, and Big Oh notation.
Introduction to ADTs: Array and Polynomial as an ADT, Sparse Matrices,
and Representation of Arrays, The Stack ADT, Expressions, Postfix
Notation, and Infix to postfix conversion. Recursion: Recursive Definition
and Processes, Writing Recursive Programs. Queue: The Queue ADT,
Circular and Double Ended Queue. Self-Referencing Classes and Dynamic
Memory Allocation. Linked List: Singly Linked Lists, Circular Lists, Linked
Stacks and Queues (Double Ended List), Doubly Linked Lists. Trees:
Introduction to Trees, Logical construction and Traversing of Binary Trees,
Implementation of Binary Trees (Insertion and Traversing), Searching and
deletion in Binary Trees, Binary Search Tree, Introduction to Balanced and
AVL Trees. Heaps: Heaps and Heaps as Priority Queues, Double Ended
Priority Queue. Searching: Linear Search, Binary Search, and Types of
Indexing. Hashing: Hash Functions: Division; Overflow Handling: Chaining;
Introduction to other advanced topics like:, B-Trees, Generalized List, etc.
Sorting types and Techniques: Logical and Algorithmic Implementation of
Selection, Bubble, Insertion, Shell, Radix, Merge, Quick, Heap, and Tree
sorts. Graphs: Graph terminology, Adjacency List and Adjacency Matrix
and Adjacency list representation of Graph; Elementary Graph Operations:
Breadth First Search and Depth First Search, Spanning Trees (BFSST,
DFSST)."
21,cs,4,2016,CMP-211,Data Strcutures and Algorithms Lab,1,1,,"Implementation of the concepts studied in “CMP210-Data
Structures and Algorithms”, Performance Analysis/Measurement, Sparse
Matrices, N-Dimensional Arrays, Stack ADT, Expressions Evaluation,
Recursion: Backtracking, Queue: Double Ended Queue, Self-Referencing
Classes and Dynamic Memory Allocation, Linked List: Singly Linked Lists,
Circular Lists, Linked Stacks and Queues (Double Ended List), Doubly
Linked Lists, Trees: Binary Trees, Binary Search Tree, Introduction to
Height Balanced and AVL Trees, Heaps and Heaps as Priority Queues,
Double Ended Priority Queue, Searching: Linear Search, Binary Search,
and Types of Indexing, Hashing: Hash Functions, Collision Resolution:
Open Hashing, Chaining, Sorting types and Techniques: Logical and
Algorithmic Implementation of Selection, Bubble, Insertion, Shell, Radix,
Merge, Quick, Heap Sort, Graphs: Graph terminology, Adjacency List and
Adjacency Matrix and Adjacency list representation of Graph; Elementary
Graph Operations: Breadth First Search and Depth First Search, Spanning
Trees (BFSST, DFSST)."
22,cs,4,2016,HM-210,Islamic Studies and Pakistan Studies,0,3,"Nell Dale, John Lewis, Computer Science Illuminated, 5th Edition, Jones &
Bartlett Learning, 2012, ISBN-10: 1449672841, ISBN-13: 978-
1449672843.","Introduction to Information Technology, The Internet and World
Wide Web, Software, Types of software, Application Software, Productivity
Software, System Software, Digital Logic Design, Computer Organization,
Operating System, Utility Programs, Hardware, Storage, Computer
Networks, Software development, Command Line, Little Man Computer,
Database Systems, Software Engineering Problem Solving, Algorithms,
HTML."
23,cs,4,2016,CS-211,Theory of Automata and Formal Languages,0,3,"Thomas L. Floyd, Electric Circuits Fundamentals, 8th Ed., Pearson,
2009, ISBN: 978-0135072936.
2. Robert L. Boylested & Louis Nashelsky, Electronic Devices and
Circuit Theory, 10th Ed., Pearson, 2008, ISBN: 978-0135026496.","Overview of the course, real number system, Intervals,
Inequalities, Functions, properties of functions, New functions from old,
Lines, Families of functions, Parametric equations, Functions as models,
Limits, Computing limits, Continuity, Limits and continuity of
trigonometric functions, Slopes and rates of change, the derivative,
Techniques of differentiation, Derivative of trigonometric functions,
Chain rule, Implicit differentiation, Local linear approximation,
Differentials, Analysis of functions: increase, decrease, concavity,
relative extrema, first and second derivative tests, Graph sketching in
rectangular coordinate system, Rolle’s theorem and Mean value
theorem, An overview of the area problem, the indefinite integral,
Integration by substitution, Sigma notation: Area as a limit, The definite
integral, Fundamental theorem of calculus, Evaluating the definite
integral by substitution, Area between two cures, Derivatives and
integrals of exponential and logarithmic functions, Derivatives and
integrals involving inverse trigonometric functions, L’Hôpital’s rule,
indeterminate forms, Integration by parts, Integrating rational functions
by partial fractions, First order differential equations and applications,
Second order linear homogeneous differential equations, Polar
coordinates and Graph sketching, Conic sections in calculus: Parabola
and ellipse, Hyperbola and axis of rotation."
24,cs,4,2016,EN-212,Communication Skills,0,3,"George Stern, Writing in English: An Invaluable Guide to Effective Writing,
Didax Educational Resources, 2004, ISBN-13: 978-1583241868","Definition of Writing Skill, Techniques and Styles, Style: writing in
your natural voice, Sentence length, and structures, choice of words and
appropriateness, Use of capitals and first and second person pronouns,
Active and passive, complete guide to style, Good usage: the split infinitive
and all that General English rules and principles, Punctuation and use of
capitals, A short grammar of current English: Parts of speech; nouns,
pronouns, adjectives, Determiners, Verbs, Adverbs, Articles, Prepositions,
conjunctions, words and suffixes, Phrases, clauses and sentences; linking
phrases, transitions, coherence and unity, Genres of essays; narrative,
descriptive and argumentative, short stories; understanding the basic
differences, Features of a book review, How to write a bibliography and
references, Idioms and figure of speech, Phrasal Verbs, Writing Assignments
and Using the computer to improve writing, Reading Comprehension,
Summarizing: descriptive, informative and evaluative summary, Simple
application format and writing, Letter formats and writing, How to Write
Effective Emails, Differences between British and American English"
51,it,1,2016,MA-101,Calculus-I,0,3,"Ellis Horowitz, Sartaj Sahni, D. Mehta, Fundamentals of Data
Structures in C++, 2nd Ed., Computer Science Press, 1995. ISBN 81-
7808-792-8
2. Adam B. Drozdek, Data Structure and Algorithm","Implementation of the concepts studied in “CMP244 - Object
Oriented Programming”, Review of Data Driven Programming, Defining
Classes and Object Initialization: setter/getter, Constructor/Destructor,
Resource Allocation/De-Allocation, const data members and function,
Composition, Aggregation, Friend function/classes, Generalization,
Multilevel/Multiple Inheritance, Runtime Polymorphism,
Singelton/Proxy/Adapter Pattern, Adhoc Polymorphism: Templates, Stream
I/O, File Processing, Exception Handling"
